Point ID,Date/Time,Max,Min
parameter_0,2018-07-30 14:50:12,33.24313007682615,33.75887045280121
parameter_1,2018-07-30 14:50:25,31.628930368494988,32.51024725302022
parameter_2,2018-07-30 14:50:35,29.215391314758026,30.13456071879048
parameter_3,2018-07-30 14:47:57,77.61683529951925,77.08351204152144
parameter_4,2018-07-30 14:48:13,78.44737855609938,81.10051649007221
parameter_5,2018-07-30 14:48:39,71.26213180963963,65.22184355173941
parameter_6,2018-07-30 14:50:51,46.715882805595655,40.24341972915927
parameter_7,2018-07-30 14:49:02,36.592304737656356,32.23940177254106
parameter_8,2018-07-30 14:51:01,44.206558312500185,42.15730026928736
parameter_9,2018-07-30 14:51:11,33.0057824480624,38.05528893456541
parameter_10,2018-07-30 14:51:24,44.53688861471243,44.214347030396326
parameter_11,2018-07-30 14:49:14,28.591255202388012,32.47201030791812
parameter_12,2018-07-30 14:49:23,35.839520732873744,36.222707884500494
parameter_13,2018-07-30 14:49:34,31.315287635548923,38.29393048090489
parameter_14,2018-07-30 14:51:42,44.65576637368885,41.65107266978504
parameter_15,2018-07-30 14:49:44,28.940249807260653,32.32107186907071
parameter_16,2018-07-30 14:51:50,45.71304404750272,36.988955535039615
parameter_17,2018-07-30 14:51:58,38.11771609490748,45.277789586686055
parameter_18,2018-07-30 14:52:32,21.388167638510907,23.673088820186713
parameter_19,2018-07-30 14:49:59,28.15628215966847,29.15063961285939
